Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4KWKrzTYu5e7fcYC7nKUun,"I Feel So Good Today","Imunidade Musical","Charlie Brown Jr.",2005-01-01,248800,54,false,brenisio,2025-08-02T13:29:53Z,"rock brasileiro,mpb,pop nacional","EMI Brazil",0.688,0.484,1,-9.254,1,0.0298,0.646,0.0129,0.109,0.447,124.062,4
spotify:track:7vM3wi9leaynP5Bmi93VDh,"Um Dia a Gente Se Encontra","La Familia 013","Charlie Brown Jr.",2013-10-08,184200,57,false,brenisio,2025-08-12T09:26:13Z,"rock brasileiro,mpb,pop nacional","Som Livre",0.472,0.957,3,-3.702,1,0.0677,0.0371,0.0000322,0.275,0.878,159.807,4
spotify:track:74Es0YAvJFbFCZ6ULMcydb,"Pontes Indestrutíveis","Ritmo, Ritual E Responsa","Charlie Brown Jr.",2007-03-10,210666,70,false,brenisio,2025-08-12T09:27:35Z,"rock brasileiro,mpb,pop nacional","Universal Music Ltda.",0.762,0.748,2,-6.934,0,0.148,0.255,0,0.148,0.756,79.619,4
spotify:track:6C6315RjrDrqj1oqaJVGY8,"Senhor Do Tempo","Imunidade Musical","Charlie Brown Jr.",2005-01-01,202826,68,false,brenisio,2025-08-12T09:27:43Z,"rock brasileiro,mpb,pop nacional","EMI Brazil",0.771,0.631,6,-7.276,1,0.0382,0.762,0.00454,0.108,0.644,97.054,4
spotify:track:3FXo3xKG3aYV3hvdRzUY61,"Só Por Uma Noite","Bocas Ordinárias","Charlie Brown Jr.",2002-01-01,203373,67,false,brenisio,2025-08-12T09:27:49Z,"rock brasileiro,mpb,pop nacional","EMI Brazil",0.574,0.964,4,-2.745,1,0.0458,0.000382,0.0045,0.0578,0.644,109.037,4
spotify:track:5HOkVB35cz5nK6ZeRj0xM6,"Proibida Pra Mim (Grazon)","Transpiração Continua Prolongada","Charlie Brown Jr.",1997-01-01,167933,65,false,brenisio,2025-08-12T09:27:56Z,"rock brasileiro,mpb,pop nacional","EMI Brazil",0.57,0.93,8,-3.14,1,0.0477,0.00606,0.00381,0.102,0.925,163.751,4
spotify:track:0B5nSzWGWwvYbKl3GvCMuZ,"Papo Reto (Prazer É Sexo O Resto É Negócio)","Bocas Ordinárias","Charlie Brown Jr.",2002-01-01,211000,65,false,brenisio,2025-08-12T09:28:00Z,"rock brasileiro,mpb,pop nacional","EMI Brazil",0.637,0.987,1,-2.755,1,0.0679,0.00183,0.00000246,0.118,0.546,101.042,4
spotify:track:2IpyGcvQ2sBAd2AmJ1mbIC,"Quebra-Mar","100% Charlie Brown Jr - Abalando A Sua Fábrica","Charlie Brown Jr.",2001-01-01,177200,43,false,brenisio,2025-08-12T09:30:35Z,"rock brasileiro,mpb,pop nacional","EMI Brazil",0.157,0.985,10,-4.195,0,0.315,0.00453,0.056,0.155,0.411,177.08,4
spotify:track:2c4csrfPe5LCPVfSM4n8ST,"Lixo E O Luxo","Tamo Ai Na Atividade","Charlie Brown Jr.",2004-01-01,163906,53,false,brenisio,2025-08-12T09:31:16Z,"rock brasileiro,mpb,pop nacional","EMI Brazil",0.598,0.627,4,-10.275,1,0.0364,0.682,0.0000145,0.192,0.722,80.077,4
spotify:track:3U5cECvoDDKlO7LxeIp0Lm,"Tamo Ai Na Atividade","Tamo Ai Na Atividade","Charlie Brown Jr.",2004-01-01,219573,65,false,brenisio,2025-08-12T09:31:50Z,"rock brasileiro,mpb,pop nacional","EMI Brazil",0.541,0.871,10,-3.417,0,0.0776,0.00298,0,0.0931,0.804,82.946,4
spotify:track:0LDT8QEHbPA0aawzm9CWP7,"Meu Novo Mundo","La Familia 013","Charlie Brown Jr.",2013-10-08,207053,73,false,brenisio,2025-08-12T09:44:25Z,"rock brasileiro,mpb,pop nacional","Som Livre",0.727,0.801,7,-5.104,0,0.0285,0.315,0.000834,0.127,0.896,124.057,4
spotify:track:3fUpBONB8CBnyydSYjpVU0,"Zóio De Lula","Papo Reto","Charlie Brown Jr.",2011-01-03,252813,26,false,brenisio,2025-08-12T09:44:40Z,"rock brasileiro,mpb,pop nacional","EMI",0.692,0.663,6,-3.342,0,0.0699,0.129,0.0000103,0.0643,0.896,152.191,4
spotify:track:2sN8JwoV6cl3d0680XBuSc,"Lutar Pelo Que E Meu","Papo Reto","Charlie Brown Jr.",2011-01-03,201866,25,false,brenisio,2025-08-12T09:44:50Z,"rock brasileiro,mpb,pop nacional","EMI",0.586,0.953,5,-4.097,0,0.0434,0.0407,0.0000195,0.15,0.847,94.083,4
spotify:track:5pjN9OZY87EVFI6JXlLaSk,"Tudo Que Ela Gosta De Escutar","Papo Reto","Charlie Brown Jr.",2011-01-03,175906,25,false,brenisio,2025-08-12T09:45:09Z,"rock brasileiro,mpb,pop nacional","EMI",0.857,0.652,5,-2.612,0,0.0464,0.113,0.00000432,0.0334,0.915,115.395,4
spotify:track:55OINk4dyEac3XZr13rXn0,"Senhor Do Tempo","Papo Reto","Charlie Brown Jr.",2011-01-03,203120,26,false,brenisio,2025-08-12T09:45:15Z,"rock brasileiro,mpb,pop nacional","EMI",0.771,0.771,6,-7.37,1,0.0601,0.792,0.0116,0.11,0.209,97.08,4
spotify:track:7eSIUtkZYPXfxIvRAYcKGL,"Pontes Indestrutíveis","Papo Reto","Charlie Brown Jr.",2011-01-03,210120,25,false,brenisio,2025-08-12T09:45:21Z,"rock brasileiro,mpb,pop nacional","EMI",0.767,0.779,7,-5.573,1,0.136,0.234,0,0.201,0.807,79.585,4
spotify:track:3EBtHRt4uSSFhNladqH3UP,"Dona do Meu Pensamento","Camisa 10 joga bola até na chuva","Charlie Brown Jr.",2009-09-16,239533,61,false,brenisio,2025-08-12T09:45:54Z,"rock brasileiro,mpb,pop nacional","Best",0.538,0.944,8,-3.364,0,0.0367,0.0451,0.00118,0.195,0.849,130.1,4
