Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3k4gjmYNJugQRlh2aounZ9,"Over Each Other","From Zero","Linkin Park",2024-11-15,170445,70,false,brenisio,2025-04-28T09:59:34Z,"nu metal,rap metal,rock,metal alternativo","Warner Records",0.55,0.789,10,-4.634,1,0.0382,0.00241,0,0.428,0.317,147.947,4
spotify:track:37Tmv4NnfQeb0ZgUC4fOJj,"Sultans Of Swing","Dire Straits","Dire Straits",1978-10-07,348400,86,false,brenisio,2025-05-02T11:37:55Z,"rock clássico","EMI",0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,4
spotify:track:3CmHvyZQQAGkKkTjTBFWN6,"Have a Cigar","Wish You Were Here","Pink Floyd",1975-09-12,307400,75,false,brenisio,2025-05-02T11:38:22Z,"rock progressivo,rock psicodélico,rock clássico,art rock,rock","Pink Floyd Records",0.454,0.65,4,-10.191,0,0.0437,0.407,0.0488,0.589,0.72,120.155,4
spotify:track:4nFNJmjfgBF7jwv2oBC45b,"Money For Nothing - Remastered 1996","Brothers In Arms (Remastered 1996)","Dire Straits",1985-05-13,505333,79,true,brenisio,2025-05-03T22:32:42Z,"rock clássico","UMC (Universal Music Catalogue)",0.674,0.649,2,-9.321,0,0.0356,0.0456,0.000766,0.0644,0.645,134.212,4
spotify:track:3elV4E1GOKfF0MVRgdp6eU,"Brothers In Arms - Remastered 1996","Brothers In Arms (Remastered 1996)","Dire Straits",1985-05-13,420240,75,false,brenisio,2025-05-04T12:58:57Z,"rock clássico","UMC (Universal Music Catalogue)",0.398,0.301,8,-13.88,0,0.0282,0.532,0.838,0.0685,0.138,79.109,4
spotify:track:0PNt5WTw092eED0ru9SuIp,"Romeo And Juliet","Making Movies","Dire Straits",1980-10-17,360666,73,false,brenisio,2025-05-04T13:05:59Z,"rock clássico","EMI",0.613,0.441,5,-11.999,1,0.0309,0.546,0.0132,0.0869,0.525,87.573,4
spotify:track:6zeE5tKyr8Nu882DQhhSQI,"Dust in the Wind","Point Of Know Return (Expanded Edition)","Kansas",1977,206266,80,false,brenisio,2025-05-05T09:32:27Z,"rock clássico,rock progressivo,aor","Epic/Legacy",0.475,0.322,7,-10.687,1,0.0283,0.367,0.00056,0.11,0.387,93.503,4
spotify:track:2RBcYkonAofm0rYycVrCGt,"Lady Writer","Communiqué","Dire Straits",1979-06-15,224666,74,false,brenisio,2025-05-05T09:41:44Z,"rock clássico","EMI",0.633,0.809,1,-8.595,0,0.0282,0.103,0.611,0.0726,0.964,147.916,4
spotify:track:4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2","The Wall","Pink Floyd",1979-11-30,238946,84,false,brenisio,2025-05-05T09:45:28Z,"rock progressivo,rock psicodélico,rock clássico,art rock,rock","Pink Floyd Records",0.693,0.394,0,-15.882,1,0.0428,0.0782,0.000694,0.247,0.721,104.114,4
spotify:track:2miIOgni3EEut8pvYcxeYn,"Six Blade Knife","Dire Straits","Dire Straits",1978-10-07,252000,72,false,brenisio,2025-05-05T09:57:04Z,"rock clássico","EMI",0.898,0.412,9,-13.826,0,0.0395,0.137,0.338,0.0825,0.857,117.457,4
