Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:37Tmv4NnfQeb0ZgUC4fOJj,"Sultans Of Swing","Dire Straits","Dire Straits",1978-10-07,348400,86,false,,1970-01-01T00:00:00Z,"rock clássico","EMI",0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,4
spotify:track:3elV4E1GOKfF0MVRgdp6eU,"Brothers In Arms - Remastered 1996","Brothers In Arms (Remastered 1996)","Dire Straits",1985-05-13,420240,75,false,,1970-01-01T00:00:00Z,"rock clássico","UMC (Universal Music Catalogue)",0.398,0.301,8,-13.88,0,0.0282,0.532,0.838,0.0685,0.138,79.109,4
spotify:track:2miIOgni3EEut8pvYcxeYn,"Six Blade Knife","Dire Straits","Dire Straits",1978-10-07,252000,72,false,,1970-01-01T00:00:00Z,"rock clássico","EMI",0.898,0.412,9,-13.826,0,0.0395,0.137,0.338,0.0825,0.857,117.457,4
spotify:track:3WaSohmE1Ahd3viZ7nfen2,"Sufoco","Alerta Geral","Alcione",1978,245160,58,false,,1970-01-01T00:00:00Z,"samba,mpb,pagode","Universal Music Ltda.",0.662,0.565,2,-9.538,1,0.0416,0.504,0.0000135,0.142,0.717,127.84,4
spotify:track:0ja80k9GL9aR5IZ79tQHVX,"Será que é amor - Ao vivo","Pagode do Arlindo (Ao vivo)","Arlindo Cruz",2003-05-09,274320,68,false,,1970-01-01T00:00:00Z,"samba,pagode,mpb","WM Brazil",0.502,0.49,9,-9.99,1,0.068,0.641,0.0000566,0.76,0.708,153.848,4
spotify:track:40ejYprsOG1G7RwuOcRyxo,"Meu Lugar","Mtv Ao Vivo Arlindo Cruz - Cd 1","Arlindo Cruz",2009-04-18,268240,62,false,,1970-01-01T00:00:00Z,"samba,pagode,mpb","Deckdisc",0.323,0.655,0,-7.412,1,0.0375,0.676,0,0.767,0.657,164.77,4
spotify:track:4nFNJmjfgBF7jwv2oBC45b,"Money For Nothing - Remastered 1996","Brothers In Arms (Remastered 1996)","Dire Straits",1985-05-13,505333,79,true,,1970-01-01T00:00:00Z,"rock clássico","UMC (Universal Music Catalogue)",0.674,0.649,2,-9.321,0,0.0356,0.0456,0.000766,0.0644,0.645,134.212,4
spotify:track:0PNt5WTw092eED0ru9SuIp,"Romeo And Juliet","Making Movies","Dire Straits",1980-10-17,360666,73,false,,1970-01-01T00:00:00Z,"rock clássico","EMI",0.613,0.441,5,-11.999,1,0.0309,0.546,0.0132,0.0869,0.525,87.573,4
spotify:track:0Pmw4b7qSugKEt0cvfTYc8,"MEGA FUNK DOS RAUL","MEGA FUNK DOS RAUL","DJ Bratti SC;DJ SAVIO",2024-11-14,146456,33,true,,1970-01-01T00:00:00Z,"funk","DJ Bratti SC",0.902,0.599,3,-8.593,0,0.157,0.281,0.00324,0.186,0.702,127.047,4
spotify:track:2GAFZG9Z7UGS1iMm4Idrnr,"Apesar De Você","Chico Buarque","Chico Buarque;MPB4;Quarteto Em Cy",1978-01-01,235546,65,false,,1970-01-01T00:00:00Z,"mpb,bossa nova,samba,jazz brasileiro","Universal Music Ltda.",0.568,0.574,4,-8.993,0,0.0683,0.468,0,0.362,0.68,107.821,4
