Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2SAqBLGA283SUiwJ3xOUVI,"Laugh Now Cry Later (feat. Lil Durk)","Laugh Now Cry Later (feat. Lil Durk)","Drake;Lil Durk",2020-08-14,261492,79,true,brenisio,2020-11-13T12:27:10Z,"rap,drill de chicago,drill","OVO",0.761,0.518,0,-8.871,1,0.134,0.244,0.0000347,0.107,0.522,133.976,4
spotify:track:35RJhm1pEovTBwnNR0zWad,"GREECE (feat. Drake)","GREECE (feat. Drake)","DJ Khaled;Drake",2020-07-16,218901,69,true,brenisio,2020-11-13T12:27:25Z,"rap","OVO/We The Best/Epic",0.695,0.343,5,-10.798,1,0.0432,0.0743,0.00000104,0.107,0.229,85.84,4
spotify:track:127QTOFJsJQp5LbJbu3A1y,"Toosie Slide","Toosie Slide","Drake",2020-04-03,247058,71,true,brenisio,2020-11-13T12:27:35Z,"rap","OVO",0.834,0.454,1,-9.75,0,0.201,0.321,0.00000615,0.114,0.837,81.618,4
spotify:track:2VWbHHhWnMzKWPUs4IEEW9,"God's Plan","Scorpion","Drake",2018-06-29,198973,1,true,brenisio,2020-11-13T12:28:18Z,"rap","Republic Records",0.754,0.449,7,-9.212,1,0.108,0.0329,0.0000784,0.55,0.35,77.167,4
spotify:track:5mCPDVBb16L4XQwDdbRUpz,"Passionfruit","More Life","Drake",2017-03-18,298940,88,true,brenisio,2020-11-13T12:28:25Z,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,4
spotify:track:0bAkKNCQfWkexHFn7fIKns,"In My Feelings","Scorpion","Drake",2018-06-29,217933,2,true,brenisio,2020-11-13T12:28:44Z,"rap","Republic Records",0.735,0.482,8,-9.445,1,0.139,0.00623,0.0144,0.448,0.315,181.995,4
spotify:track:0wwPcA6wtMf6HUMpIRdeP7,"Hotline Bling","Views","Drake",2016-05-06,267066,84,false,brenisio,2020-11-13T12:29:00Z,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.891,0.628,2,-7.863,1,0.0551,0.00258,0.00019,0.0504,0.552,134.966,4
spotify:track:343YBumqHu19cGoGARUTsd,"Fake Love","More Life","Drake",2017-03-18,210937,72,true,brenisio,2020-11-13T12:29:06Z,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.928,0.481,9,-9.35,0,0.287,0.105,0,0.176,0.613,134.007,4
spotify:track:6Na5uKk5SsqZimk0hAWo8y,"Signs","Signs","Drake",2017-06-23,234373,69,false,brenisio,2020-11-13T12:29:29Z,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.794,0.735,0,-4.204,1,0.054,0.108,0.00578,0.112,0.223,107.374,4
spotify:track:1ID1QFSNNxi0hiZCNcwjUC,"Legend","If You're Reading This It's Too Late","Drake",2015-02-12,241853,66,true,brenisio,2020-11-13T12:29:34Z,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.714,0.563,1,-7.574,1,0.0723,0.0266,0,0.0776,0.31,100.091,4
spotify:track:4XTXamS1g4g93jPxyuFJJ6,"Brand New","So Far Gone","Drake",2009,213492,61,true,brenisio,2020-11-13T12:29:45Z,"rap","Young Money/Cash Money Records",0.399,0.491,6,-8.992,1,0.0714,0.631,0,0.171,0.356,94.542,3
