Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4LRPiXqCikLlN15c3yImP7,"As It Was","As It Was","Harry Styles",2022-03-31,167303,12,false,brenisio,2024-02-09T17:27:06Z,"","Columbia",0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
spotify:track:6UelLqGlWMcVH1E5c4H7lY,"Watermelon Sugar","Fine Line","Harry Styles",2019-12-13,173991,87,false,brenisio,2024-02-09T17:34:53Z,"","Columbia",0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4
spotify:track:5uEYRdEIh9Bo4fpjDd4Na9,"Goosebumps - Remix","Goosebumps (Remix)","Travis Scott;HVME",2021-01-15,162802,75,true,brenisio,2024-02-23T17:59:11Z,"rap,slap house","Cactus Jack/Epic",0.841,0.593,1,-7.846,1,0.0379,0.418,0,0.124,0.808,124.917,4
spotify:track:1AguHaKOuggrVTebp7cZEI,"Stereo Love","Stereo Love","Edward Maya;Vika Jigulina",2010-02-02,184573,65,false,brenisio,2024-03-01T12:09:55Z,"","Catchy Tunes",0.799,0.783,1,-3.896,0,0.0322,0.0346,0.0186,0.0757,0.586,127.041,4
spotify:track:0vbtURX4qv1l7besfwmnD8,"I Took A Pill In Ibiza - Seeb Remix","At Night, Alone.","Mike Posner;Seeb",2016-05-06,197933,85,true,brenisio,2024-03-14T18:04:51Z,"","Monster Mountain, LLC / Island",0.664,0.714,7,-6.645,0,0.111,0.0353,0.00000842,0.0843,0.71,101.969,4
spotify:track:6zSpb8dQRaw0M1dK8PBwQz,"Cold Heart - PNAU Remix","Cold Heart (PNAU Remix)","Elton John;Dua Lipa;PNAU",2021-08-13,202735,82,false,brenisio,2024-03-14T18:05:08Z,"pop","EMI",0.796,0.798,1,-6.312,1,0.0317,0.034,0.0000419,0.0952,0.942,116.032,4
spotify:track:5f9IO4gLuOOSlWD0Zlavk5,"Secrets - Consoul Trainin Remix","Secrets (Remixes)","Regard;RAYE;Consoul Trainin",2020-07-31,159800,38,true,brenisio,2024-03-14T18:05:24Z,"","Ministry of Sound Recordings",0.784,0.751,6,-5.38,0,0.0291,0.00963,0.0000396,0.0579,0.673,123.997,4
spotify:track:1gihuPhrLraKYrJMAEONyc,"Feel So Close - Radio Edit","18 Months","Calvin Harris",2012-10-29,206413,87,false,brenisio,2024-03-14T18:05:38Z,"edm","Columbia",0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,4
spotify:track:48n7IBeWDH1rAvk7ZZWTKI,"Keep On Rising - Radio Mix","Keep On Rising","Ian Carey;Michelle Shellers",2014-09-04,189306,0,false,brenisio,2024-03-25T18:33:49Z,"","Spinnin' Records",0.573,0.756,3,-8.905,0,0.0397,0.0154,0.000376,0.345,0.605,127.974,4
spotify:track:199wv1uOJYZ1XyK8FTzwh2,"Ascend","Ascend","Dezko",2023-06-09,200156,75,false,brenisio,2025-03-05T18:39:00Z,"stutter house","ALT:Vision Records",0.707,0.835,8,-8.759,0,0.0418,0.601,0.791,0.0933,0.0958,120.009,4
